"","text","name","handle"
"123","You can always count on @kanyewest to ask the most important questions! 🤣🤣🤣 @KimKardashian @KUWTK #KUWTK 
(credit:… https://t.co/Q3081x3tqw","Kanye West","@KanyeWest"
"124","Adidas + @KanyeWest Announce The Yeezy Boost 350 V2 Clay 

https://t.co/W2S5DrraiN https://t.co/xxZ4R3XmZ6","Kanye West","@KanyeWest"
"125","@kanyewest @kanyewest the HS is our director, we can chill out and hold the door open . Joy over happiness. https://t.co/UVJWRZpRvg","Kanye West","@KanyeWest"
"126","RT @mariafiit: They asked me if I’m dabbling into fashion... do you see this coat?!!
       -@kanyewest https://t.co/wvyuQPF3pM","Kanye West","@KanyeWest"
"127","I try to live a humble life and then I listen to @kanyewest 😂","Kanye West","@KanyeWest"
"128","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"129","@kanyewest what can man do that we ought to fear them? Tell it on high and in the Valley . https://t.co/lCM69KSCzg","Kanye West","@KanyeWest"
"130","@_trapmoneymelly ""@kanyewest is an Artiste"", in case you somehow didn't know already, shame on you. 
And… https://t.co/jHTKPmNpbk","Kanye West","@KanyeWest"
"131","It all looks great, 400 years later we buying our own chains. -@kanyewest","Kanye West","@KanyeWest"
"132","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"133","RT @Complex: 11 years ago today @EstelleDarlings and @kanyewest dropped ""American Boy"" 

A classic. 
https://t.co/Lq5TongbPV","Kanye West","@KanyeWest"
"134","RT @kanyewest: I said express love more because we have love but we don't express it.  My friend Tmills will always say ""I love you"" and it…","Kanye West","@KanyeWest"
"135","Good morning to everyone but especially @kanyewest","Kanye West","@KanyeWest"
"136","RT @Fella0001: You people said that Kanye West @kanyewest is coming back to Uganda. The 3rd month ended this is now the 4th month huh Where…","Kanye West","@KanyeWest"
"137","RT @kanyewest: Everything happens for a reason","Kanye West","@KanyeWest"
"138","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"139","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"140","RT @kanyewest: If I got any cooler I would freeze to death","Kanye West","@KanyeWest"
"141","@stevebartlettsc @kanyewest It looks dope, @stevebartlettsc 🔥😍","Kanye West","@KanyeWest"
"142","@kanyewest Stay strong . @KidCudi we wait in confidence . 
@jonbellion we seek His face 
@steelpulse we want to be… https://t.co/ewJ1IUbSU4","Kanye West","@KanyeWest"
"143","RT @Prison4Trump: @kanyewest This fool went and lost his mind wearing that MAGA hat and declaring his love for Trump!.  Just deleted this f…","Kanye West","@KanyeWest"
"144","RT @mariafiit: They asked me if I’m dabbling into fashion... do you see this coat?!!
       -@kanyewest https://t.co/wvyuQPF3pM","Kanye West","@KanyeWest"
"145","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"146","RT @IAmSteveHarvey: Yall voting for @kanyewest in 2020? http://t.co/MOJE3NkGXg","Kanye West","@KanyeWest"
"147","RT @kardashstormy: LMAO 🤣  LOOK AT KIMs face 😂 #KUWTK IM SCREAMG 🤣🤣 @KimKardashian  @kanyewest  https://t.co/cAKWEEdkxE","Kanye West","@KanyeWest"
"148","RT @Shalaseia: @DannySt15323169 @thesmartalec11 @Prison4Trump @Sharonb57470441 @JAS16AZ @kanyewest ""Tales From the BurnSide""...my Son and I…","Kanye West","@KanyeWest"
"149","Young people LOVE a good church service @KimKardashian please get @kanyewest  to bring Sunday service to @essencefest","Kanye West","@KanyeWest"
"150","RT @Prison4Trump: @kanyewest This fool went and lost his mind wearing that MAGA hat and declaring his love for Trump!.  Just deleted this f…","Kanye West","@KanyeWest"
"151","RT @kanyewest: YANDHI 9 29 18 

YANDHI IS RELEASING THIS SATURDAY https://t.co/ysqMrtc1RP","Kanye West","@KanyeWest"
"152","@Big_Hoe @kanyewest Oh shit, it’s the fighting personality.","Kanye West","@KanyeWest"
"153","RT @Fella0001: You people said that Kanye West @kanyewest is coming back to Uganda. The 3rd month ended this is now the 4th month huh Where…","Kanye West","@KanyeWest"
"154","RT @thrstyle: Kim Kardashian West (@KimKardashian) talks sunglasses, North's style and her first Coachella with @KanyeWest https://t.co/YjU…","Kanye West","@KanyeWest"
"155","RT @missgeme: @TeamKanyeDaily @kanyewest @ZeyaKemon Kanye really has a good singing voice. And y is he so cute?😫","Kanye West","@KanyeWest"
"156","15 years ago College Dropout btw. 

thank you Lord. this album really got me through dark times.
thank you @kanyewest","Kanye West","@KanyeWest"
"157","@947HitsFM @davidguetta @theweeknd @kanyewest @DaftPunkUnchd WE WANT BTS PLEASE💜💜","Kanye West","@KanyeWest"
"158","RT @kanyewest: Fear no man","Kanye West","@KanyeWest"
"159","Have you ever popped champagne on a plane, while gettin' some brain
Whipped it out, she said ""I never seen Snakes o… https://t.co/jq0ckbZA1o","Kanye West","@KanyeWest"
"160","@JColeNC have @kanyewest produce your next album and that album will be remembered for life!","Kanye West","@KanyeWest"
"161","Next three choices. You pick ! 

@davidguetta- Hey Mama

Belly F/@theweeknd- Might Not 

@kanyewest/@DaftPunkUnchd- Stronger","Kanye West","@KanyeWest"
"162","@stevebartlettsc @kanyewest That pool table is an absolute beaut 🙋🏼‍♀️","Kanye West","@KanyeWest"
"163","RT @kanyewest: One of my favorite of many things about what the Trump hat represents to me is that people can’t tell me what to do because…","Kanye West","@KanyeWest"
"164","RT @Complex: 11 years ago today @EstelleDarlings and @kanyewest dropped ""American Boy"" 

A classic. 
https://t.co/Lq5TongbPV","Kanye West","@KanyeWest"
